"DAY","IMEI","LONGITUDE","LATITUDE","LOCATION_TYPE","ELECTRICITY","STATUS","ACTIVE_TIME","LBS_LAC","LBS_CELL","LBS_RXLEV"
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.703","","30-SEP-16 11.36.42.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.703","","30-SEP-16 11.38.14.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.626","","30-SEP-16 11.40.06.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.675","","30-SEP-16 11.41.10.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.697","","30-SEP-16 11.42.23.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.697","","30-SEP-16 11.43.31.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.692","","30-SEP-16 11.44.40.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.697","","30-SEP-16 11.45.52.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.681","","30-SEP-16 11.47.04.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.664","","30-SEP-16 11.47.39.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.686","","30-SEP-16 11.48.44.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.692","","30-SEP-16 11.49.50.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.686","","30-SEP-16 11.50.55.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.686","","30-SEP-16 11.52.07.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.670","","30-SEP-16 11.52.32.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.686","","30-SEP-16 11.53.50.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.642","","30-SEP-16 11.54.12.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.681","","30-SEP-16 11.55.22.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.670","","30-SEP-16 11.56.30.000000 AM","","",""
"30-SEP-16 12.00.00.000000 AM","861510030001370","104.064268","30.783317","0","3.659","","30-SEP-16 11.57.31.000000 AM","","",""
